new_time,year,month,day,time
1750-11-22,1750,November,22,1750-11-22
1750-11-29,1750,November,29,1750-11-29
1750-12-06,1750,December,6,1750-12-01
1750-12-13,1750,December,13,1750-12-13
1750-12-20,1750,December,20,1750-12-20
1750-12-27,1750,December,27,1750-12-27
1751-01-03,1751,January,3,1751-01-01
1751-01-10,1751,January,10,1751-01-10
1751-01-17,1751,January,17,1751-01-17
1751-01-24,1751,January,24,1751-01-24
1751-01-31,1751,January,31,1751-01-31
1751-02-07,1751,February,7,1751-02-01
1751-02-14,1751,February,14,1751-02-14
1751-02-21,1751,February,21,1751-02-21
1751-02-28,1751,February,28,1751-02-28
1751-03-07,1751,March,7,1751-03-01
1751-03-14,1751,March,14,1751-03-14
1751-03-21,1751,March,21,1751-03-21
1751-03-28,1751,March,28,1751-03-28
1751-04-04,1751,April,4,1751-04-01
1751-04-11,1751,April,11,1751-04-11
1751-04-18,1751,April,18,1751-04-18
1751-04-25,1751,April,25,1751-04-25
1751-05-02,1751,May,2,1751-05-01
1751-05-09,1751,May,9,1751-05-09
1751-05-16,1751,May,16,1751-05-16
1751-05-23,1751,May,23,1751-05-23
1751-05-30,1751,May,30,1751-05-30
1751-06-06,1751,June,6,1751-06-01
1751-06-13,1751,June,13,1751-06-13
1751-06-20,1751,June,20,1751-06-20
1751-06-27,1751,June,27,1751-06-27
1751-07-04,1751,July,4,1751-07-01
1751-07-11,1751,July,11,1751-07-11
1751-07-18,1751,July,18,1751-07-18
1751-07-25,1751,July,25,1751-07-25
1751-08-01,1751,August,1,1751-08-01
1751-08-08,1751,August,8,1751-08-08
1751-08-15,1751,August,15,1751-08-15
1751-08-22,1751,August,22,1751-08-22
1751-08-29,1751,August,29,1751-08-29
1751-09-05,1751,September,5,1751-09-01
1751-09-12,1751,September,12,1751-09-12
1751-09-19,1751,September,19,1751-09-19
1751-09-26,1751,September,26,1751-09-26
1751-10-03,1751,October,3,1751-10-01
1751-10-10,1751,October,10,1751-10-10
1751-10-17,1751,October,17,1751-10-17
1751-10-24,1751,October,24,1751-10-24
1751-10-31,1751,October,31,1751-10-31
1751-11-07,1751,November,7,1751-11-01
1751-11-14,1751,November,14,1751-11-14
1751-11-21,1751,November,21,1751-11-21
1751-11-28,1751,November,28,1751-11-28
1751-12-05,1751,December,5,1751-12-01
1751-12-12,1751,December,12,1751-12-12
1751-12-19,1751,December,19,1751-12-19
1751-12-26,1751,December,26,1751-12-26
1752-01-02,1752,January,2,1752-01-01
1752-01-09,1752,January,9,1752-01-09
1752-01-16,1752,January,16,1752-01-16
1752-01-23,1752,January,23,1752-01-23
1752-01-30,1752,January,30,1752-01-30
1752-02-06,1752,February,6,1752-02-01
1752-02-13,1752,February,13,1752-02-13
1752-02-20,1752,February,20,1752-02-20
1752-02-27,1752,February,27,1752-02-27
1752-03-05,1752,March,5,1752-03-01
1752-03-12,1752,March,12,1752-03-12
1752-03-19,1752,March,19,1752-03-19
